from,to,distance_km,predicted_flow,estimated_speed_kmh,travel_time_sec
2295,43089,0.009,800,53.86,30.61
2299,34145,0.003,800,53.86,30.19
2299,39595,0.203,800,53.86,43.54
2305,36730,0.066,800,53.86,34.4
2305,50741,0.08,800,53.86,35.36
2306,35198,0.016,800,53.86,31.07
2306,44077,0.074,800,53.86,34.95
2307,36356,0.016,800,53.86,31.07
2307,13940,0.017,800,53.86,31.16
2308,9053,0.003,800,53.86,30.2
2308,7543,0.004,800,53.86,30.28
2311,48901,0.024,800,53.86,31.61
2311,39216,0.043,800,53.86,32.85
2313,6421,0.02,800,53.86,31.33
2313,43561,0.021,800,53.86,31.43
2315,35179,0.004,800,53.86,30.25
2315,49988,0.11,800,53.86,37.36
2320,35149,0.0,800,53.86,30.01
2320,11668,0.033,800,53.86,32.2
2321,19227,0.021,800,53.86,31.4
2321,2661,0.042,800,53.86,32.79
2327,34274,0.003,800,53.86,30.22
2327,46820,0.017,800,53.86,31.16
2329,54452,0.008,800,53.86,30.55
2329,7923,0.029,800,53.86,31.97
2335,37179,0.036,800,53.86,32.42
2335,30833,0.175,800,53.86,41.67
2336,7110,0.034,800,53.86,32.3
2336,25382,0.034,800,53.86,32.3
2351,4771,0.013,800,53.86,30.88
2351,38452,0.028,800,53.86,31.88
2353,35285,0.009,800,53.86,30.62
2353,39046,0.033,800,53.86,32.19
2397,2397,0.0,800,53.86,30.0
2397,19854,0.003,800,53.86,30.2
2408,35477,0.018,800,53.86,31.22
2408,27762,0.044,800,53.86,32.94
2412,23046,0.004,800,53.86,30.26
2412,7505,0.018,800,53.86,31.21
2413,32065,0.078,800,53.86,35.2
2413,52703,0.162,800,53.86,40.83
2421,35634,0.037,800,53.86,32.5
2421,37882,0.037,800,53.86,32.48
2422,3868,0.014,800,53.86,30.95
2422,5241,0.031,800,53.86,32.05
2427,36726,0.013,800,53.86,30.87
2427,53091,0.028,800,53.86,31.9
2428,3598,0.021,800,53.86,31.39
2428,40644,0.062,800,53.86,34.12
2430,43267,0.021,800,53.86,31.4
2430,3936,0.026,800,53.86,31.73
2431,37310,0.012,800,53.86,30.79
2431,309,0.017,800,53.86,31.17
2437,44230,0.006,800,53.86,30.39
2437,44579,0.015,800,53.86,31.03
2440,53832,0.029,800,53.86,31.93
2440,40811,0.029,800,53.86,31.93
2445,37882,0.032,800,53.86,32.13
2445,35634,0.032,800,53.86,32.15
2446,8479,0.024,800,53.86,31.58
2446,44558,0.038,800,53.86,32.54
2448,22050,0.003,800,53.86,30.19
2448,36314,0.031,800,53.86,32.06
